Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,CAN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,55.6252,54.8606,54.096,52.2866,50.4772,48.6678,46.8584,45.049,43.4768,41.9046,40.3324,38.7602,37.188,35.7922,34.3964,33.0006,31.6048,30.209,29.1472,28.0854,27.0236,25.9618,24.9,24.5676,24.2352,23.9028,23.5704,23.238,23.6186,23.9992,24.3798,24.7604,25.141,24.1362,23.1314,22.1266,21.1218,20.117,19.0226,17.9282,16.8338,15.7394,14.645,14.4514,14.2578,14.0642,13.8706,13.677,13.2404,12.8038,12.3672,11.9306,11.494,10.8726,10.2512,9.6298,9.0084,8.387,8.0346,7.6822,,
Canada,CAN,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000,31000,32000,31000,31000,31000,31000,32000,33000,34000,35000,36000,38000,40000,42000,43000,45000,46000,48000,49000,50000,52000,53000,54000,55000,57000,58000,60000,62000,,,
Canada,CAN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Adults (ages 15+) living with HIV,SH.DYN.AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,22,,,,,22.3,22.6,,23.1,23.4,23.1,23.3,24.6,23.8,24.1,24.3,24.6,24.9,25.2,25.5,27.1,25.6,25.9,26.2,26.6,26,26.4,26.4,26.5,26.6,26.3,26.8,26.7,26.8,,26.6,,,,,26.9,,27.1,,27.1,27.2,,,,,
Canada,CAN,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,24.4,,,,,24.4,24.7,,25.2,25.5,25.2,25.5,25.7,26,26.3,26.5,26.9,27.2,27.6,27.9,29.4,28.1,28.5,28.9,29.3,28.5,29.1,29.1,29.3,29.4,28.7,29.6,29.3,29.4,,28.6,,,,,28.6,,28.8,,28.8,28.7,,,,,
Canada,CAN,Age dependency ratio (% of working-age population),SP.POP.DPND,70.72416217,71.09696462,71.13649749,70.87558781,70.36453336,69.61860036,68.43446683,66.90970734,65.18189038,63.41221617,61.68833581,59.71119673,57.9710927,56.36375581,54.74724526,53.0894964,51.94107774,50.66818729,49.39771032,48.30200745,47.45675151,46.84991928,46.42797866,46.18604474,46.07402693,46.06398842,46.15467233,46.29706081,46.48349642,46.70298568,46.93979791,47.20882864,47.479474,47.69878407,47.80615574,47.77997772,47.78391385,47.58798393,47.24961716,46.85987972,46.47432724,46.00672167,45.59065693,45.20707408,44.83428989,44.495093,44.23699432,44.03477573,43.93390259,43.97675318,44.17994479,44.64763374,45.13918539,45.70697547,46.38054112,47.15645579,47.82631443,48.61607607,49.48187729,50.36191603,51.23928687,
Canada,CAN,"Age dependency ratio, old",SP.POP.DPND.OL,13.14363758,13.18063742,13.18947166,13.18015382,13.16449217,13.15046682,13.09766175,13.04788,13.00902082,12.98332905,12.97116634,12.96168428,12.94971998,12.94809293,12.97010697,13.02273924,13.18485491,13.35916711,13.5409738,13.72214658,13.90203556,14.09144048,14.27316679,14.4683518,14.70074852,14.98161971,15.25444305,15.55926763,15.88592704,16.21507776,16.53442628,16.80616389,17.04983196,17.26991188,17.47321368,17.66684216,17.84676572,18.00936795,18.1562003,18.28662928,18.40446593,18.50307925,18.58829137,18.67761736,18.79323769,18.95421925,19.13834588,19.35344295,19.62097814,19.96659698,20.40672487,20.90334426,21.48625689,22.15015152,22.86956698,23.62395809,24.32483539,25.03064915,25.75872729,26.53571732,27.38090851,
Canada,CAN,"Age dependency ratio, young",SP.POP.DPND.YG,57.58052459,57.91632721,57.94702583,57.695434,57.20004119,56.46813355,55.33680508,53.86182734,52.17286956,50.42888713,48.71716947,46.74951246,45.02137272,43.41566288,41.77713829,40.06675716,38.75622283,37.30902017,35.85673652,34.57986087,33.55471594,32.75847879,32.15481187,31.71769295,31.37327841,31.08236871,30.90022928,30.73779318,30.59756939,30.48790792,30.40537163,30.40266475,30.42964204,30.42887219,30.33294206,30.11313556,29.93714813,29.57861598,29.09341685,28.57325044,28.06986132,27.50364241,27.00236556,26.52945672,26.0410522,25.54087375,25.09864844,24.68133278,24.31292445,24.0101562,23.77321992,23.74428949,23.65292849,23.55682395,23.51097413,23.5324977,23.50147904,23.58542692,23.72315,23.82619871,23.85837836,
Canada,CAN,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,222933,225068,224869,222191,216954,209307,198256,184934,171467,160741,154779,155048,160125,167933,175395,180247,181935,181107,178675,176123,174577,174528,175322,176726,178345,179872,180752,181489,182262,183348,184892,187699,190996,193727,194471,192321,186840,178654,169379,161284,156033,154126,154961,158069,162610,167841,173734,180408,186789,191508,193660,192774,189204,184350,180266,178426,180017,183812,188712,193067,195681,
Canada,CAN,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,233950,236857,237358,235207,230192,222375,210270,195541,180577,168642,162045,162424,168199,177001,185332,190626,192444,191345,188403,185346,183484,183286,184108,185640,187381,188952,189642,190108,190612,191551,193147,196337,200207,203545,204724,202697,196697,187686,177485,168661,163089,161364,162780,166666,171890,177507,183372,189720,195614,199887,201789,200983,197663,193182,189503,188024,189779,193686,198667,203109,205847,
Canada,CAN,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,219796,223390,223731,223122,220408,215519,210086,197773,187322,178096,171446,158984,167971,169297,171128,172459,178899,173580,173693,173798,174124,175084,175841,176909,178178,179660,181415,182216,183643,185178,186790,186749,191540,193389,193852,192400,192515,183569,177422,171622,167104,159162,162368,161992,163008,165327,169184,173987,179455,184237,187519,194240,189073,188130,187170,186892,181651,189970,192041,193821,194907,
Canada,CAN,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,230260,234319,235343,235106,232563,227610,222408,208157,196714,186668,179534,166595,176341,178157,180422,181960,189161,183132,183046,182962,183207,184116,185000,186209,187610,189167,190666,191422,192662,194073,195674,195281,200951,203133,203836,202456,202646,192687,185954,179701,174985,166664,170708,170811,172282,174917,179118,183642,188970,193577,196707,202556,198200,197258,196352,196193,191138,199412,201620,203562,204826,
